note_day,Chinese,English
3/20/2026,把表格一直拖到最左边,drag the table all the way to the left
3/20/2026,产生影响力 / 受到欢迎关注,gain traction
3/20/2026,符合标准,conform to the standard
3/20/2026,符合工作流程,conform to the workflow
3/20/2026,符合指南,conform to the guidelines
3/20/2026,共识,consensus
3/20/2026,回头看 事后回看,in retrospect
3/20/2026,会议中走神，请对方再说一遍 x8,"I lost track for a moment. 
I wasn't following. 
I may have missed that part. 
I got distracted for a second. 
The connection was a bit unstable. 
Your audio is breaking up. 
I was taking notes and may have missed that part. 
Just to make sure I understand correctly, can you say it again?"
3/20/2026,你方便开个短会吗？x3,"Do you find the time convenient for a short meeting? 
Are you available for a quick call? 
Do you have a moment to discuss quickly now?"
3/20/2026,清晰表达 阐述 / 表达清晰的 口才好的,articulate
3/20/2026,深思熟虑的 谨慎的 / 故意的 有意为之的 / 仔细讨论 慎重考虑,deliberate
3/20/2026,适应工作环境,conform to the working environment
3/20/2026,顺应市场趋势,conform to the market trend
3/20/2026,我支持你 我赞成你 x3,"I second you. 
I'm on board with that. 
I am with you on that."
3/20/2026,一直向右滚动到头,scroll all the way to the right
3/20/2026,已收到,(well / kindly / duely / promptly / fully)  noted / received / acknowledged / understood
3/20/2026,原则上 理论上,in principle
3/20/2026,在适当的时候 到时候,in due course
3/20/2026,这太过分了x5,"That's over the line. 
That's out of the line. 
That's crossing the line.
That's going too far. 
That's too excessive."
3/20/2026,最右边 x3,"the far right
the rightmost
all the way to the right"
3/20/2026,最右边的表格,the far left chart
3/20/2026,最右侧的一列,the rightmost column
3/20/2026,最左边 x3,"the far left
the leftmost
all the way to the left"
3/20/2026,最左边的面板,the panel on the far right
3/20/2026,最左侧的一行,the leftmost row
3/20/2026,遵守规定,conform with the regulation
3/22/2026,冰棍,popsicle
3/22/2026,搞砸了 失败了,strike out
3/22/2026,极难找到（或得到）之物 / 圣杯,holy grail
3/22/2026,偷税漏税 名词,tax evasion
4/11/2026,不至于 x3,"It won't get to the point where
It's not as if
There's no need to "
4/11/2026,不至于说我们必须取消,It won't get to the point where we have to cancel it. 
4/11/2026,不至于说我们完全没有选择,It's not as if we are completely out of options
4/11/2026,草太班子 x3,"a makeshift team
amateurish outfit
ragtag team"
4/11/2026,倒数第二,the second to last
4/11/2026,倒数第三,the thrid to last
4/11/2026,感知 认知,perceive
4/11/2026,构思 设想 想出,conceive
4/11/2026,构思出一个主义 想出一个主意,conceive an idea
4/11/2026,固有风险,inherent risks
4/11/2026,固有局限,inherent limitations
4/11/2026,顾客如何认知我们品牌,how customers perceive our brand
4/11/2026,过奖了 x5,"I'm flattered.
You are flattering me.
You gave me too much credit.
That's kind of you to say that.
You are gassing me up. "
4/11/2026,还差（多少）,short  (a number)
4/11/2026,还缺（什么）,be short on
4/11/2026,加班 x4,"work overtime
stay late at work
burn the midnight oil
put in extra ours"
4/11/2026,开通权限,(grant / enable/ authorize)  (access / permission)
4/11/2026,连贯的 前后一致的,coherent
4/11/2026,连贯一致的战略,a coherent strategy
4/11/2026,临时的数据,tentative data
4/11/2026,明确的 清晰的,explicit
4/11/2026,明确角色和责任,be explicit about role and responsibility
4/11/2026,内在美,inherent beauty
4/11/2026,我们差400美元付款,We're short $400 payment.
4/11/2026,我们缺人,We're short on team members. 
4/11/2026,我们缺时间,We're short on time.
4/11/2026,我们缺资源,We're short on researces.
4/11/2026,细致的,meticulous
4/11/2026,想处一个培训项目,conceive a training program
4/11/2026,与生俱来的 内在的,inherent
4/11/2026,暂定的 临时的,tentative
4/11/2026,暂定的日程,a tentative schedule
4/11/2026,做一个细致的审查,conduct a meticulous review
